sim_step,Δ,δ,c,per_infected,βd,βₑ,βᵢ,γₑ,γₐ,avg_he_size,avg_degree,avg_direct_contacts,new_users,moved_users,perc_infected_users,perc_infected_locations
1,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.02811888236340986,0.29313543599257885,Inf,114,58,0.22263450834879406,0.0001779676098949991
2,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.02794091475351486,0.2912801484230056,64.5,15,30,0.22263450834879406,0.0001779676098949991
3,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.02402562733582488,0.2504638218923933,65.5,2,4,0.2189239332096475,0.0007118704395799964
4,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.02811888236340986,0.29313543599257885,73.5,16,12,0.22263450834879406,0.0007118704395799964
5,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.03897490656700481,0.40630797773654914,85.5,24,50,0.2189239332096475,0.0007118704395799964
6,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.04591564335290977,0.47866419294990725,34.166666666666664,34,55,0.20964749536178107,0.0007118704395799964
7,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.06531411283146467,0.6808905380333952,29.5,31,141,0.20222634508348794,0.0012457732692649937
8,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.05018686599038975,0.5231910946196661,Inf,14,34,0.20037105751391465,0.0019576437088449903
9,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.044847837693539776,0.4675324675324675,Inf,0,2,0.20408163265306123,0.0019576437088449903
10,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.048585157501334755,0.5064935064935064,Inf,1,23,0.19480519480519481,0.002135611318739989
11,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.05410215340807973,0.5640074211502782,Inf,5,53,0.18923933209647495,0.001779676098949991
12,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.06371240434240968,0.6641929499072357,34.125,17,96,0.19109461966604824,0.001601708489054992
13,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.08186510055169958,0.8534322820037106,24.583333333333332,22,170,0.17996289424860853,0.0014237408791599928
14,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07083110873820965,0.738404452690167,50.666666666666664,9,101,0.17439703153988867,0.0012457732692649937
